title,author,isbn,publication_year,publisher,genre,pages,rating,description
"To Kill a Mockingbird","Harper Lee","9780061120084",1960,"Harper Perennial Modern Classics","Fiction",376,4.3,"A gripping tale of racial injustice and loss of innocence in the American South"
"1984","George Orwell","9780451524935",1949,"Signet Classics","Science Fiction",328,4.2,"A dystopian social science fiction novel and cautionary tale about the perils of totalitarianism"
"Pride and Prejudice","Jane Austen","9780141439518",1813,"Penguin Classics","Romance",432,4.1,"A romantic novel of manners following the character development of Elizabeth Bennet"
"The Great Gatsby","F. Scott Fitzgerald","9780743273565",1925,"Scribner","Fiction",180,3.9,"A classic American novel set in the Jazz Age that critiques the American Dream"
"Harry Potter and the Philosopher's Stone","J.K. Rowling","9780747532699",1997,"Bloomsbury","Fantasy",223,4.5,"The first novel in the Harry Potter series about a young wizard's adventures"
"The Catcher in the Rye","J.D. Salinger","9780316769174",1951,"Little, Brown and Company","Fiction",277,3.8,"A controversial novel about teenage rebellion and alienation"
"Lord of the Flies","William Golding","9780571056866",1954,"Faber & Faber","Fiction",224,3.7,"A dystopian novel about a group of British boys stranded on an uninhabited island"
"The Hobbit","J.R.R. Tolkien","9780547928227",1937,"Houghton Mifflin Harcourt","Fantasy",366,4.4,"A fantasy adventure novel that precedes The Lord of the Rings"
"Brave New World","Aldous Huxley","9780060850524",1932,"Harper Perennial Modern Classics","Science Fiction",268,3.9,"A dystopian novel set in a futuristic World State"
"Jane Eyre","Charlotte Brontë","9780141441146",1847,"Penguin Classics","Romance",507,4.0,"A coming-of-age story following the experiences of its eponymous heroine"
"The Lord of the Rings","J.R.R. Tolkien","9780544003415",1954,"Houghton Mifflin Harcourt","Fantasy",1216,4.6,"An epic high-fantasy novel about the quest to destroy the One Ring"
"Dune","Frank Herbert","9780441172719",1965,"Ace Books","Science Fiction",688,4.3,"A science fiction novel set in the distant future amidst a feudal interstellar society"
"The Chronicles of Narnia","C.S. Lewis","9780064471190",1950,"HarperCollins","Fantasy",767,4.2,"A series of seven fantasy novels set in the magical land of Narnia"
"Fahrenheit 451","Ray Bradbury","9781451673319",1953,"Simon & Schuster","Science Fiction",249,3.8,"A dystopian novel about a future society where books are outlawed"
"Animal Farm","George Orwell","9780451526342",1945,"Signet Classics","Fiction",112,3.9,"An allegorical novella about farm animals who rebel against their human farmer"
"Wuthering Heights","Emily Brontë","9780141439556",1847,"Penguin Classics","Romance",416,3.6,"A tale of passion and revenge set on the Yorkshire moors"
"The Picture of Dorian Gray","Oscar Wilde","9780141439570",1890,"Penguin Classics","Fiction",254,4.0,"A philosophical novel about a man who sells his soul for eternal youth"
"Moby Dick","Herman Melville","9780142437247",1851,"Penguin Classics","Adventure",635,3.5,"The narrative of Captain Ahab's obsessive quest to kill the white whale"
"War and Peace","Leo Tolstoy","9780143039990",1869,"Penguin Classics","Historical Fiction",1225,4.1,"An epic novel chronicling the French invasion of Russia"
"Crime and Punishment","Fyodor Dostoevsky","9780486454115",1866,"Dover Publications","Fiction",430,4.2,"A psychological novel about guilt, redemption, and moral responsibility"
"The Alchemist","Paulo Coelho","9780061122415",1988,"HarperOne","Fiction",163,3.9,"A philosophical book about following one's dreams"
"One Hundred Years of Solitude","Gabriel García Márquez","9780060883287",1967,"Harper Perennial Modern Classics","Magical Realism",417,4.0,"A multi-generational saga of the Buendía family"
"The Kite Runner","Khaled Hosseini","9781594631931",2003,"Riverhead Books","Fiction",371,4.1,"A story of friendship, guilt, and redemption set in Afghanistan"
"Life of Pi","Yann Martel","9780156027328",2001,"Harcourt","Adventure",319,3.8,"A survival story about a boy stranded on a lifeboat with a Bengal tiger"
"The Book Thief","Markus Zusak","9780375842207",2005,"Knopf Books for Young Readers","Historical Fiction",552,4.4,"A story narrated by Death about a young girl in Nazi Germany"
